mmsi,ship_name,latitude,longitude,timestamp,message_type,ship_type,cog,sog,heading,destination,call_sign,imo_number,vessel_category,threat_range_km,risk_level,threat_description,_kafka_key,_kafka_partition,_kafka_offset
413865532,RONGHANG23,22.30663,114.15957,2026-06-19 19:49:03.582974067 +0000 UTC,StandardClassBPositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413865532,0,45
413865532,RONGHANG23,22.30663,114.15957,2026-06-19 19:49:07.567319694 +0000 UTC,PositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413865532,0,46
412472910,FULI288,22.30863,114.1246,2026-06-19 19:49:11.08724737 +0000 UTC,PositionReport,,360,0.1,259,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412472910,0,47
413906647,FENGNIAN 96,22.36404,113.93635,2026-06-19 19:49:26.700369172 +0000 UTC,PositionReport,,211.7,0,211,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906647,0,49
413595490,YUAN JING HE,1.17329,103.83064,2026-06-19 19:49:36.719317251 +0000 UTC,PositionReport,,69.6,13.4,68,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413595490,0,52
413762753,HUA HAI 07,22.30935,114.12355,2026-06-19 19:49:37.513553002 +0000 UTC,StandardClassBPositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413762753,0,53
413287970,NING YANG YOU 9,22.48707,113.74972,2026-06-19 19:49:38.72765536 +0000 UTC,PositionReport,,162.2,10.7,163,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413287970,0,54
413276420,NANGANG99,22.44632,113.88781,2026-06-19 19:49:41.958045009 +0000 UTC,PositionReport,,156,1.7,172,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413276420,0,55
413060000,XIN PU DONG,1.22296,103.93085,2026-06-19 19:49:47.593206425 +0000 UTC,PositionReport,,66,17.1,67,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413060000,0,56
413871165,YUEJIANG68,22.36486,113.97157,2026-06-19 19:49:48.627592426 +0000 UTC,StaticDataReport,,,,,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413871165,0,58
414265000,JINNING7,34.68431,129.10649,2026-06-19 19:49:57.065373111 +0000 UTC,PositionReport,,34.5,15.2,34,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414265000,0,59
413695760,DONG FANG QIANG,25.15023,121.75228,2026-06-19 19:50:05.904916455 +0000 UTC,PositionReport,,335.5,0,241,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413695760,0,60
413995708,ZHIHANG188,22.30738,114.12353,2026-06-19 19:50:31.166367453 +0000 UTC,StandardClassBPositionReport,,0,0,0,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413995708,0,62
413543480,AN YANG 118,22.36069,113.95432,2026-06-19 19:50:32.049853512 +0000 UTC,PositionReport,,307.7,0,237,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413543480,0,63
413595490,YUAN JING HE,1.17459,103.8342,2026-06-19 19:50:37.09885828 +0000 UTC,PositionReport,,69.7,13.3,67,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413595490,0,64
413906647,FENGNIAN 96,22.36404,113.93634,2026-06-19 19:50:38.280405243 +0000 UTC,StandardClassBPositionReport,,211.7,0,211,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906647,0,65
412400040,SHENG PING189,22.46665,113.86147,2026-06-19 19:50:50.572634098 +0000 UTC,PositionReport,,243.5,0,181,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,412400040,0,67
413295960,QING YUN HE,35.58966,139.79745,2026-06-19 19:50:52.936032551 +0000 UTC,PositionReport,,41.6,0,305,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413295960,0,68
414265000,JINNING7,34.68778,129.10943,2026-06-19 19:50:57.063408394 +0000 UTC,PositionReport,,34.7,15.3,35,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,414265000,0,69
413494920,YIN ZHU HU,22.30857,114.15428,2026-06-19 19:51:05.832123456 +0000 UTC,PositionReport,,14.7,0,97,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413494920,0,70
413577330,SHUN TAI18,22.31423,114.15067,2026-06-19 19:51:08.73563145 +0000 UTC,PositionReport,,179.3,0,104,,,,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413577330,0,71
413906647,FENGNIAN 96,22.36404,113.93634,2026-06-19 19:51:17.708259751 +0000 UTC,ShipStaticData,70,,,,H K,0000000,0,Government / Military (Other),15.0,LOW,Unclassified Chinese Govt/Military Vessel,413906647,0,72
